County,Fully_Immunized_U1,Malaria_Burden,TB_Cases_per_100k,HIV_Prevalence,Facility_Delivery,Cluster
Bomet,30.4,154.4,279,3.5,34.8,0
Garissa,57.8,31.3,145,2.6,25.1,0
Homa Bay,49.3,359.7,453,27.1,39.8,2
Kiambu,88.7,30.0,259,4.4,68.9,1
Kilifi,64.9,211.3,231,3.7,13.6,0
Mandera,67.1,84.4,63,1.3,8.2,0
Mombasa,83.8,79.5,554,11.1,68.9,1
Nairobi,97.0,26.3,639,8.6,78.9,1
Turkana,27.4,165.7,207,9.9,6.9,0
Wajir,53.1,25.4,86,0.2,5.1,0
