Facility Code,Facility Name,County,District,Division,Type,Type_grouped,Owner,Beds,Cots,log_beds,log_cots,Open 24 Hours,Open Weekends,ART,C-IMCI,FP,HBC,IPD
13231,State House Clinic,Nairobi,Dagoretti North,Kilimani,Dispensary,Dispensary,Local Authority,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
13232,State House Dispensary (Nairobi),Nairobi,Dagoretti North,Kilimani,Dispensary,Dispensary,Ministry of Health,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
18574,Strathmore University Medical Centre,Nairobi,Langata,Lang'ata,Medical Clinic,Medical Clinic,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
21085,The Aga Khan University Hospital T Mall,Nairobi,Langata,Mugumoini,Medical Centre,Other,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19376,The Arcade Medical Centre,Nairobi,Ruaraka,Ruaraka ,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
18304,The Co-Operative University College of Kenya Dispe,Nairobi,Langata,Lang'ata,Dispensary,Dispensary,Parastatal,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
13004,The Karen Hospital,Nairobi,Langata,Lang'ata,Other Hospital,Other Hospital,Private Enterprise (Institution),102.0,0.0,4.634728988229636,0.0,1,1,0,1,1,1,1
19434,The Mater Embakasi Clinic,Nairobi,Embakasi South,MUkuru,Medical Clinic,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,4.0,2.0,1.6094379124341003,1.0986122886681098,0,1,0,0,0,0,0
19543,The Mater Hospital (Westlands),Nairobi,Westlands,Parklands,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
17657,The Mater Hospital Buruburu,Nairobi,Makadara,Makadara,Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
13074,The Mater Hospital Mukuru,Nairobi,Starehe,South B,Other Hospital,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,166.0,42.0,5.117993812416755,3.7612001156935624,1,1,1,1,0,1,1
19101,The Nairobi Hospital Out-Patient Centre Galeria,Nairobi,Langata,Lang'ata,Medical Clinic,Medical Clinic,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19396,Tumaini Mwangaza ( Korogocho),Nairobi,Ruaraka,Ruaraka,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,12.0,2.0,2.5649493574615367,1.0986122886681098,1,1,0,0,0,0,0
13248,Vision Peoples Inter Health Centre,Nairobi,Ruaraka,Kasarani,Health Centre,Health Centre,Other Faith Based,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
17687,Viva Afya Kayole,Nairobi,Embakasi Central,Kayole,Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
18368,Viva Afya Medical Clinic (Matopeni),Nairobi,Embakasi West,Njiru,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
18323,Vostrum Clinic,Nairobi,Kibra,Kibra,Medical Clinic,Medical Clinic,Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
18344,Afya House Dispensary,Nairobi,Kibra,KNH Golf Course,Dispensary,Dispensary,Ministry of Health,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
19621,Afya Medical Clinic (Dandora),Nairobi,Embakasi North,Dandora,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19514,Blessed Medical Clinic,Nairobi,Kibra,Kibra,Medical Clinic,Medical Clinic,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
21219,Bliss Health Care Limited,Nairobi,Starehe,Starehe,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
21050,Blissgvs Health Care Pipeline,Nairobi,Embakasi East,Embakasi,Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
12885,Blue House Dispensary,Nairobi,Kamukunji,Eastleigh North,Dispensary,Dispensary,Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,0,1,0,1,1,1
19561,Bodaki Health Centre,Nairobi,Westlands,Kangemi,Medical Clinic,Medical Clinic,Private Practice - Medical Specialist,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
18805,Bodaki Medical Clinic,Nairobi,Dagoretti North,Kawangware,Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,4.0,0.0,1.6094379124341003,0.0,1,1,0,0,0,0,0
18273,Buruburu Friends Clinic,Nairobi,Embakasi East,Embakasi,Medical Clinic,Medical Clinic,Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
12888,Buruburu Medical Clinic,Nairobi,Makadara,Makadara,Medical Clinic,Medical Clinic,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
19504,Child Doctor Kenya,Nairobi,Kibra,Woodly,Dispensary,Dispensary,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
17951,Children Medical Clinic (Kasarani),Nairobi,Kasarani,Kasarani,Dispensary,Dispensary,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
19589,Chiromo Medical Centre,Nairobi,Westlands,parklands,Medical Clinic,Medical Clinic,Private Enterprise (Institution),5.0,5.0,1.791759469228055,1.791759469228055,1,1,0,0,0,0,0
12909,Dagoretti Approved Dispensary,Nairobi,Dagoretti South,Dagoretti,Dispensary,Dispensary,Ministry of Health,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
20189,Dagoretti Community Dispesary,Nairobi,Dagoretti South,Dagoretti,Dispensary,Dispensary,Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
19545,Damic Dental X-Ray Services,Nairobi,Starehe,central,Dental Clinic,Other,Private Practice - Unspecified,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
12911,Dandora (EDARP) Clinic,Nairobi,Embakasi West,Dandora,Medical Clinic,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,0.0,0.0,0.0,0.0,0,0,1,0,1,1,1
17997,Dandora Health Service,Nairobi,Embakasi North,Dandora,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
12913,Dandora I Health Centre,Nairobi,Embakasi North,Embakasi,Health Centre,Health Centre,Local Authority,0.0,0.0,0.0,0.0,0,0,1,0,1,1,1
12912,Dandora II Health Centre,Nairobi,Embakasi North,Dandora,Health Centre,Health Centre,Local Authority,12.0,1.0,2.5649493574615367,0.6931471805599453,0,0,1,0,1,1,1
19617,Dandora Medical and Laboratory Services (Kojwang),Nairobi,Embakasi North,Dandora,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
18220,Dandora Medical Centre,Nairobi,Kasarani,Njiru,Medical Clinic,Medical Clinic,Private Practice - Unspecified,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19982,Dr Kingondu Clinic (Kilimani),Nairobi,Dagoretti North,Kilimani,Medical Clinic,Medical Clinic,Private Practice - Medical Specialist,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19568,Dr Kishor J D Medical Centre,Nairobi,Starehe,Central,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
19420,Dr M S Saroya Medical Clinic (Nairobi),Nairobi,Starehe,Central,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
20106,Dr Maina Ruga Medical Clinic,Nairobi,Starehe,City Centre,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19419,Dr Maina Skin Clinic (Ngara),Nairobi,Starehe,Ngara,Medical Clinic,Medical Clinic,Private Practice - Unspecified,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
20078,Farmers choice wellness centre clinic,Nairobi,Roysambu,Kasarani,Medical Clinic,Medical Clinic,Private Practice - Unspecified,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
12943,Flack Clinic,Nairobi,Makadara,South B,Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
18472,Flomed Med Clinic,Nairobi,Kasarani,Kasarani,Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
12947,Garrison Health Centre,Nairobi,Embakasi East,Embakasi,Health Centre,Health Centre,Armed Forces,0.0,0.0,0.0,0.0,0,0,1,0,1,1,1
12955,Giovanna Dispensary,Nairobi,Roysambu,Kasarani,Dispensary,Dispensary,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
19619,Good Neighbours Medical Clinic (Dandora),Nairobi,Embakasi North,Dandora,Medical Clinic,Medical Clinic,Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
12959,Good Samaritan Dispensary,Nairobi,Kasarani,Kasarani,Dispensary,Dispensary,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
12960,Good Shepherd Dispensary,Nairobi,Dagoretti South,Dagoretti,Dispensary,Dispensary,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
